aX,aY,aZ,gX,gY,gZ
-0.440,-0.334,1.399,-34.546,-73.303,-77.942
-0.535,-0.568,1.542,-35.034,-73.120,-75.073
-0.598,-0.725,1.593,-51.636,-71.960,-58.960
-0.617,-0.706,1.711,-82.153,-70.923,-32.715
-0.651,-0.570,1.884,-86.853,-75.195,-8.972
-0.693,-0.362,2.140,-49.377,-81.177,9.827
-0.821,-0.341,2.548,21.057,-88.989,27.039
-0.622,-0.126,2.894,102.966,-84.412,48.584
-0.718,-0.289,3.350,174.194,-88.318,52.917
-0.762,-0.519,3.790,240.051,-76.233,63.843
-0.731,-0.621,3.994,270.020,-40.100,83.374
-0.705,-0.504,4.000,264.465,10.315,113.464
-0.666,-0.253,3.832,247.803,66.650,143.372
-0.650,0.102,3.487,220.215,124.512,163.025
-0.656,0.521,2.923,193.237,181.091,170.105
-0.638,0.999,2.052,167.236,230.164,165.405
-0.616,1.428,1.012,106.018,265.442,143.372
-0.482,1.812,-0.387,11.169,289.124,103.638
-0.216,2.073,-1.759,-70.190,286.560,51.758
0.134,1.952,-2.523,-61.768,230.835,5.249
0.426,1.303,-2.343,27.344,128.479,-27.832
0.643,0.686,-1.983,117.371,41.321,-45.898
0.755,0.250,-1.703,114.197,-0.061,-54.504
0.739,-0.004,-1.634,45.898,-0.916,-55.359
0.645,-0.144,-1.825,-26.978,19.775,-50.415
0.496,-0.343,-2.116,-86.243,35.706,-52.063
0.318,-0.506,-2.203,-138.489,27.222,-55.908
0.162,-0.604,-2.101,-179.199,3.906,-56.335
0.016,-0.610,-1.904,-191.711,-20.020,-51.880
-0.155,-0.535,-1.538,-154.663,-45.166,-42.664
-0.308,-0.454,-1.057,-99.976,-71.167,-37.048
-0.432,-0.377,-0.594,-62.134,-87.646,-38.330
-0.535,-0.303,-0.145,-46.692,-89.844,-38.269
-0.574,-0.238,0.234,-41.077,-84.900,-36.133
-0.591,-0.181,0.610,-34.973,-78.247,-32.227
-0.527,-0.159,0.972,-20.203,-67.383,-26.733
-0.450,-0.198,1.222,-7.446,-51.575,-22.522
-0.405,-0.263,1.365,-2.014,-31.677,-19.287
-0.400,-0.267,1.448,-19.165,-10.071,-17.639
-0.275,-0.280,1.473,-43.457,7.996,-18.738
-0.214,-0.309,1.500,-52.979,18.066,-10.132
-0.141,-0.263,1.475,-52.856,26.184,4.639
-0.041,-0.185,1.438,-48.401,33.508,20.569
-0.021,-0.111,1.359,-47.363,39.673,29.785
0.018,0.040,1.275,-59.143,43.396,32.227
-0.140,0.234,1.229,-80.505,41.321,27.466
0.128,0.157,1.026,-83.618,38.086,14.648
-0.003,0.343,1.176,-36.743,34.058,29.846
0.138,0.245,1.234,23.621,10.437,33.813
-0.008,-0.071,1.399,25.635,-4.761,-0.244
-0.028,-0.260,1.494,1.892,-11.292,-13.306
0.075,-0.322,1.579,-11.475,-12.451,-0.610
0.149,-0.344,1.640,-7.812,-11.658,17.822
0.184,-0.251,1.589,3.357,-2.136,30.396
0.160,-0.105,1.420,-4.944,10.315,31.128
0.124,-0.053,1.243,-22.217,13.733,28.320
0.100,-0.049,1.149,-29.663,6.714,26.001
0.093,-0.010,1.094,-29.724,-2.930,22.644
0.099,0.068,1.044,-28.381,-11.230,18.066
0.102,0.110,1.047,-20.203,-21.362,13.428
0.100,0.090,1.115,-6.775,-31.860,7.996
0.094,0.048,1.176,0.488,-37.354,2.258
0.097,0.022,1.200,-3.967,-36.865,-3.235
0.052,-0.040,1.217,-12.634,-34.912,-9.460
-0.003,-0.055,1.198,-27.039,-30.884,-12.878
-0.029,-0.045,1.216,-48.035,-28.992,-15.747
-0.095,-0.122,1.243,-54.932,-28.198,-18.433
-0.133,-0.263,1.234,-45.898,-29.419,-16.663
-0.147,-0.336,1.266,-36.499,-31.982,-9.888
-0.124,-0.312,1.260,-35.156,-30.701,-1.038
-0.085,-0.218,1.226,-31.372,-28.076,8.667
-0.031,-0.105,1.198,-19.348,-27.588,14.832
-0.015,-0.035,1.150,-6.042,-26.184,15.381
-0.008,0.003,1.096,0.183,-22.766,13.062
-0.019,0.045,1.045,-3.418,-18.921,9.460
-0.035,0.068,1.000,-12.573,-15.625,4.517
-0.052,0.047,0.978,-17.517,-14.282,-0.916
-0.054,0.007,0.991,-14.526,-15.564,-5.371
-0.072,-0.038,1.021,-6.958,-17.822,-8.606
-0.057,-0.071,1.061,2.258,-18.860,-8.667
-0.056,-0.105,1.114,7.996,-19.104,-7.874
-0.030,-0.100,1.145,8.301,-15.991,-7.263
-0.026,-0.067,1.145,2.563,-10.986,-6.958
-0.036,-0.045,1.116,-4.028,-4.395,-7.996
-0.048,-0.032,1.088,-9.583,1.343,-10.315
-0.061,-0.047,1.033,-12.695,6.104,-12.451
-0.074,-0.045,1.007,-14.160,7.080,-12.756
-0.080,-0.060,0.985,-11.292,5.554,-12.085

-0.036,-0.123,1.040,4.944,-3.174,3.174
-0.036,-0.113,1.047,7.141,-0.854,4.333
-0.027,-0.092,1.044,5.188,2.075,5.066
-0.033,-0.087,1.030,4.822,4.089,4.517
-0.047,-0.109,1.022,7.019,5.249,3.906
-0.038,-0.078,1.021,7.568,6.042,4.395
-0.044,-0.036,1.039,6.592,5.737,3.967
-0.044,-0.037,1.080,3.723,5.493,1.343
-0.042,-0.057,1.138,-0.488,5.249,-2.991
-0.065,-0.116,1.207,-1.526,3.906,-7.629
-0.125,-0.256,1.305,-1.038,2.441,-11.597
-0.138,-0.389,1.462,4.883,0.000,-11.475
-0.193,-0.490,1.558,25.513,-6.592,-7.141
-0.193,-0.559,1.869,46.082,-16.235,-2.930
-0.225,-0.665,2.120,82.581,-20.447,1.953
-0.188,-0.655,2.318,104.370,-13.794,12.451
-0.157,-0.595,2.471,104.004,-1.587,20.081
-0.109,-0.495,2.530,91.003,19.592,24.719
-0.063,-0.421,2.484,64.697,43.335,26.367
-0.041,-0.352,2.349,30.884,67.627,26.184
0.011,-0.293,2.165,1.648,85.388,23.315
0.049,-0.268,2.009,-16.663,94.849,14.465
0.074,-0.232,1.891,-26.794,98.572,3.418
0.072,-0.298,1.802,-17.517,97.778,-5.737
-0.016,-0.496,1.679,-13.794,97.839,-10.681
-0.122,-0.675,1.495,-38.269,100.708,-7.812
-0.225,-0.811,1.299,-64.636,96.069,2.686
-0.280,-0.792,1.165,-68.848,76.599,21.667
-0.387,-0.625,1.141,-26.733,46.082,45.898
-0.095,-0.141,1.156,75.134,12.329,76.111
0.067,0.298,1.415,177.551,-25.879,95.947
0.167,0.738,1.581,221.802,-38.147,93.445
0.351,1.123,1.629,194.885,-19.348,79.590
0.474,1.232,1.467,118.408,13.306,60.181
0.444,1.117,0.958,6.714,57.617,41.199
0.460,0.856,0.036,-99.976,102.966,24.353
0.389,0.613,-1.033,-146.118,124.939,14.587
0.434,0.555,-2.012,-138.123,116.516,14.099
0.562,0.584,-2.773,-72.510,78.064,17.395
0.669,0.558,-2.939,32.288,10.254,17.395
0.742,0.491,-2.734,112.061,-53.040,7.019
0.722,0.381,-2.498,122.437,-85.999,-13.062
0.662,0.265,-2.296,83.801,-91.736,-33.020
0.463,0.176,-2.274,55.969,-80.139,-45.654
0.209,0.097,-2.231,26.611,-71.106,-59.265
-0.075,-0.003,-2.015,-5.798,-78.064,-73.425
-0.363,-0.211,-1.620,-10.315,-89.600,-78.552
-0.557,-0.393,-1.083,-14.709,-102.966,-77.026
-0.739,-0.503,-0.547,-27.039,-115.662,-73.242
-0.843,-0.501,0.038,-35.095,-123.474,-65.186
-0.868,-0.462,0.589,-34.668,-124.390,-51.941
-0.851,-0.420,1.150,-12.329,-127.075,-38.025
-0.805,-0.461,1.642,13.184,-122.925,-28.748
-0.716,-0.505,2.032,17.700,-105.774,-21.057
-0.687,-0.541,2.302,-2.380,-81.360,-13.184
-0.486,-0.473,2.465,-48.523,-50.232,-6.104
-0.269,-0.430,2.523,-92.102,-20.020,-10.193
-0.202,-0.435,2.531,-105.164,-4.272,-10.193
-0.053,-0.405,2.496,-104.980,14.221,-4.211
0.194,-0.334,2.262,-110.474,30.701,7.751
0.193,-0.266,2.380,-118.713,37.842,12.756
0.329,0.243,1.709,-104.980,79.285,31.311
0.195,0.454,1.630,-112.854,59.509,34.851
0.267,0.234,1.306,-142.151,58.533,-10.620
0.150,0.026,1.166,-158.325,45.349,-41.382
0.055,0.051,1.076,-135.254,25.024,-32.959
0.130,0.030,1.082,-90.942,11.658,-18.616
0.131,0.034,1.218,-33.752,-10.742,-7.385
0.136,-0.007,1.340,3.723,-27.954,-3.296
0.178,-0.024,1.385,8.728,-34.546,-4.639
0.064,-0.067,1.423,3.052,-35.461,-4.395
0.068,-0.028,1.369,2.502,-29.846,2.441
0.100,0.079,1.302,4.333,-18.372,8.972
0.127,0.137,1.241,9.949,-8.423,10.803
0.132,0.150,1.199,14.648,-0.671,10.315
0.120,0.155,1.082,8.606,11.108,7.812
0.087,0.155,0.954,-2.014,20.813,4.578
0.026,0.117,0.812,-12.939,24.597,-1.038
-0.031,0.049,0.753,-18.677,20.386,-5.920
-0.084,-0.030,0.745,-16.968,10.742,-7.507
-0.095,-0.086,0.798,-11.108,-1.648,-4.761
-0.084,-0.136,0.905,0.671,-13.123,-0.793
-0.067,-0.162,1.011,19.165,-20.813,2.014
-0.032,-0.155,1.102,36.743,-24.963,5.676
-0.005,-0.149,1.164,47.180,-23.560,8.911
0.016,-0.136,1.187,45.715,-16.602,11.414
0.029,-0.102,1.173,34.058,-6.653,12.573
0.032,-0.043,1.096,17.334,4.272,12.512
0.031,0.007,1.037,6.470,11.230,10.681
0.024,0.026,1.000,5.554,13.672,6.897
0.019,0.019,0.987,6.287,13.916,2.441
0.034,0.008,1.002,3.662,13.550,-1.770
0.031,-0.044,1.023,2.441,13.306,-5.920
0.026,-0.115,1.039,1.831,13.794,-7.263
0.011,-0.182,1.039,-5.371,14.526,-7.263
0.005,-0.219,1.010,-13.184,16.296,-6.226
-0.008,-0.258,0.990,-16.418,15.381,-5.066
-0.004,-0.232,0.978,-14.038,12.451,-0.610
0.024,-0.197,0.993,-5.371,4.333,4.395
0.032,-0.180,1.025,6.348,-3.296,7.324
0.025,-0.187,1.028,12.695,-7.935,10.498
0.116,-0.051,1.069,14.526,-11.963,18.799
0.096,-0.035,1.065,14.893,-10.925,11.719
0.103,-0.001,1.053,12.024,-9.094,10.376
0.113,0.032,1.045,7.324,-7.080,8.545
0.116,0.067,1.039,2.258,-6.104,6.348
0.118,0.088,1.046,-3.174,-5.432,2.441
0.118,0.078,1.053,-5.005,-5.127,-2.258
0.093,0.028,1.065,-2.502,-5.615,-6.470
0.083,-0.022,1.071,-0.488,-5.920,-7.874
0.067,-0.058,1.089,0.122,-6.042,-7.568
0.064,-0.079,1.087,1.282,-5.432,-5.981
0.062,-0.093,1.076,2.014,-5.188,-4.395
0.058,-0.100,1.057,4.028,-4.639,-2.563
0.053,-0.105,1.029,5.920,-4.211,-0.732
0.049,-0.089,0.996,5.310,-4.150,1.099
0.045,-0.069,0.963,4.456,-4.395,2.625
0.042,-0.058,0.943,5.127,-5.493,3.723
0.040,-0.046,0.922,4.333,-6.897,4.272

0.011,-0.082,0.950,0.000,-1.892,3.174
0.009,-0.093,0.959,-0.793,-2.747,2.441
0.010,-0.111,0.977,-1.099,-3.601,1.770
0.021,-0.122,0.999,-0.244,-4.272,1.709
0.025,-0.126,1.017,1.831,-3.845,1.770
0.026,-0.126,1.014,1.465,-2.747,1.831
0.022,-0.119,1.001,-0.671,-1.038,1.953
0.026,-0.113,0.985,-1.587,0.244,1.953
0.023,-0.116,0.965,-0.793,0.916,1.709
0.021,-0.116,0.946,-0.854,1.038,1.648
0.021,-0.111,0.926,-1.404,0.977,1.770
0.026,-0.104,0.915,-0.671,-0.244,2.136
0.034,-0.096,0.909,0.488,-1.587,2.441
0.040,-0.088,0.904,0.061,-2.625,2.258
0.040,-0.090,0.898,-1.404,-3.174,1.953
0.041,-0.081,0.879,-3.662,-3.418,1.648
0.039,-0.069,0.861,-5.554,-3.479,1.343
0.039,-0.067,0.837,-5.920,-4.578,0.671
0.036,-0.072,0.808,-7.019,-5.432,-0.305
0.028,-0.074,0.776,-9.644,-6.531,-0.977
0.017,-0.075,0.747,-13.062,-8.118,-1.587
0.004,-0.080,0.724,-16.479,-10.254,-2.197
-0.011,-0.086,0.696,-19.287,-13.733,-2.747
-0.018,-0.085,0.673,-21.606,-18.311,-3.113
-0.031,-0.094,0.652,-23.010,-23.804,-3.479
-0.055,-0.101,0.620,-25.574,-29.297,-4.028
-0.093,-0.055,0.595,-31.799,-34.485,-4.578
-0.095,-0.010,0.591,-38.757,-40.466,-5.493
-0.110,0.049,0.602,-40.894,-48.645,-8.179
-0.118,0.078,0.707,-41.992,-58.228,-12.939
-0.124,0.059,0.810,-43.640,-64.636,-20.325
-0.145,0.025,0.918,-45.288,-67.627,-29.419
-0.167,-0.051,1.023,-44.434,-69.763,-37.537
-0.228,-0.145,1.139,-50.781,-70.374,-43.518
-0.323,-0.209,1.325,-67.688,-70.190,-46.875
-0.416,-0.291,1.529,-76.965,-71.167,-47.363
-0.496,-0.398,1.842,-62.256,-76.111,-42.786
-0.589,-0.504,2.203,-28.564,-83.191,-34.424
-0.635,-0.591,2.691,18.799,-88.074,-22.888
-0.658,-0.631,3.072,51.636,-80.322,-10.864
-0.595,-0.540,3.408,75.500,-56.824,2.502
-0.505,-0.360,3.611,115.662,-21.118,18.555
-0.573,-0.525,3.868,155.701,-5.249,20.813
-0.603,-0.641,3.985,155.701,22.949,26.917
-0.594,-0.639,4.000,107.788,63.171,37.048
-0.551,-0.500,3.940,61.646,102.478,54.321
-0.465,-0.320,3.816,50.781,131.165,73.853
-0.385,-0.083,3.638,69.214,160.339,90.576
-0.324,0.151,3.388,91.736,193.542,104.065
-0.322,0.530,2.980,86.487,230.713,113.037
-0.369,0.926,2.193,58.228,269.287,113.586
-0.482,1.202,1.097,32.349,301.270,103.394
-0.571,1.354,-0.233,-3.845,316.650,79.102
-0.477,1.393,-1.740,-78.186,307.861,43.823
-0.225,1.235,-2.860,-140.564,248.230,1.831
0.077,0.854,-3.208,-102.844,135.010,-33.264
0.313,0.509,-3.018,19.653,21.484,-47.729
0.503,0.221,-2.690,127.136,-50.415,-46.509
0.495,-0.028,-2.466,147.156,-67.871,-44.495
0.346,-0.082,-2.486,117.065,-38.452,-38.452
0.291,-0.104,-2.825,75.867,-1.282,-37.781
0.100,-0.240,-2.901,57.739,-2.625,-47.852
-0.102,-0.342,-2.660,56.763,-27.527,-54.138
-0.258,-0.311,-2.112,66.528,-59.875,-46.509
-0.256,-0.168,-1.606,99.243,-76.599,-29.846
-0.377,-0.039,-1.048,114.136,-90.454,-27.100
-0.468,-0.008,-0.379,101.624,-110.229,-33.020
-0.440,0.043,0.191,70.129,-108.276,-31.738
-0.353,0.034,0.677,47.546,-93.201,-26.917
-0.301,-0.023,1.079,40.588,-77.881,-20.142
-0.244,-0.169,1.391,18.738,-57.922,-14.893
-0.190,-0.182,1.589,-30.701,-31.982,-12.878
-0.096,-0.292,1.673,-91.736,-2.563,-20.325
-0.054,-0.386,1.694,-122.192,18.127,-21.118
-0.010,-0.506,1.655,-135.437,30.640,-14.648
0.029,-0.599,1.596,-143.555,36.194,1.099
0.085,-0.560,1.549,-172.424,41.443,19.104
0.130,-0.403,1.506,-207.092,45.471,31.189
0.173,-0.247,1.446,-223.694,46.387,32.837
-0.026,-0.102,1.465,-205.383,39.673,28.625
0.487,-0.280,1.361,-138.489,28.137,24.414
0.234,0.043,1.440,-55.969,29.785,47.485
0.447,0.011,1.357,-32.959,8.118,45.593
0.415,-0.027,1.468,-54.688,-15.747,18.799
0.407,-0.108,1.468,-63.782,-38.391,-0.732
0.418,-0.107,1.501,-30.518,-46.997,2.686
0.461,-0.061,1.445,15.442,-35.645,18.005
0.425,0.016,1.363,35.156,-20.935,26.550
0.324,0.087,1.179,15.381,-10.742,21.118
0.197,0.122,1.028,-13.672,-11.414,10.742
0.130,0.094,1.028,-18.188,-26.184,4.578
0.109,0.039,1.146,2.808,-46.143,2.502
0.112,0.004,1.283,27.161,-61.707,0.183
0.115,-0.051,1.390,38.635,-68.848,-1.770
0.115,-0.059,1.455,30.029,-65.552,-1.770
0.135,-0.035,1.443,3.723,-54.443,-2.502
0.136,-0.002,1.396,-21.912,-41.626,-3.784
0.130,0.029,1.379,-30.518,-31.616,-5.554
0.129,0.034,1.331,-20.691,-22.766,-6.958
0.105,0.020,1.292,-8.545,-17.273,-5.615
0.073,-0.034,1.231,-3.174,-12.756,-5.737
0.051,-0.068,1.168,-2.747,-8.545,-5.005
0.055,-0.056,1.126,-5.005,-6.836,-1.953
0.077,-0.033,1.080,-7.019,-5.493,0.244
0.096,-0.021,1.045,-2.258,-5.310,0.793
0.100,-0.023,1.005,3.052,-5.676,0.183
0.078,-0.038,0.959,1.953,-5.737,-0.977
0.052,-0.077,0.919,-2.258,-5.920,-1.709
0.032,-0.110,0.898,-8.179,-7.202,-1.526
0.030,-0.109,0.885,-14.221,-9.949,-0.977
0.044,-0.090,0.902,-10.681,-14.343,-0.488
0.068,-0.085,0.922,1.282,-19.592,-0.366
0.059,-0.097,0.971,10.071,-23.071,-2.075
0.094,-0.081,0.983,11.353,-22.156,-1.282
0.101,-0.054,1.010,6.348,-20.813,1.038
0.118,-0.040,1.000,1.282,-16.968,2.075
0.122,-0.026,0.971,-2.441,-12.268,2.197
0.104,-0.022,0.923,-6.958,-9.766,1.587
0.083,-0.022,0.865,-12.634,-8.423,0.244

-0.018,-0.167,0.860,-14.648,1.221,-5.554
-0.017,-0.166,0.855,-13.611,-0.671,-4.333
-0.011,-0.167,0.850,-10.620,-3.235,-3.113
-0.022,-0.171,0.864,-5.676,-6.348,-2.014
-0.010,-0.155,0.890,-1.526,-9.277,-0.854
-0.008,-0.138,0.914,1.709,-11.841,0.427
-0.007,-0.121,0.934,2.563,-13.489,1.099
-0.009,-0.108,0.950,2.380,-14.099,1.526
-0.019,-0.107,0.971,-2.197,-14.404,1.953
-0.008,-0.095,0.998,-5.554,-15.198,2.625
-0.001,-0.078,1.023,-5.188,-15.076,3.113
-0.001,-0.077,1.046,-4.333,-14.160,2.686
-0.008,-0.092,1.058,-4.578,-12.207,1.709
-0.030,-0.111,1.053,-6.226,-9.094,0.610
-0.029,-0.116,1.045,-7.568,-6.531,0.793
-0.019,-0.119,1.045,-3.052,-5.188,1.831
-0.032,-0.128,1.021,1.465,-3.784,2.808
-0.014,-0.089,1.035,2.197,-3.357,3.784
0.026,-0.045,1.050,7.019,-3.357,4.395
0.021,-0.025,1.042,9.399,-2.136,2.136
0.011,-0.049,1.034,6.287,-0.916,-1.526
-0.005,-0.100,1.041,0.916,-0.854,-4.761
-0.014,-0.143,1.036,1.587,-1.343,-6.470
-0.009,-0.152,1.052,5.615,-2.563,-6.592
0.005,-0.163,1.048,6.592,-3.296,-5.615
0.009,-0.174,1.030,3.174,-3.174,-5.493
0.021,-0.159,1.005,0.671,-3.845,-5.127
0.006,-0.220,0.958,-4.822,-5.920,-2.563
0.023,-0.196,0.940,-6.409,-12.024,0.854
-0.004,-0.210,0.869,4.761,-16.724,-0.061
-0.031,-0.185,0.853,8.179,-26.306,1.831
-0.035,-0.163,0.836,-1.831,-36.560,0.000
-0.062,-0.208,0.889,-11.108,-42.664,-5.371
-0.087,-0.246,0.990,-13.306,-50.354,-10.925
-0.113,-0.324,1.201,-12.878,-58.350,-15.198
-0.132,-0.416,1.507,-1.953,-66.284,-14.282
-0.169,-0.529,1.872,12.878,-71.838,-9.583
-0.202,-0.633,2.267,31.799,-72.327,-2.869
-0.248,-0.781,2.699,66.772,-67.993,4.395
-0.317,-1.010,3.076,111.206,-51.880,14.526
-0.388,-1.160,3.276,140.808,-19.531,33.142
-0.422,-1.133,3.412,135.071,21.240,59.998
-0.446,-1.047,3.365,92.957,68.176,90.393
-0.433,-0.654,3.231,38.391,119.995,118.530
-0.469,-0.408,2.913,7.385,173.218,115.479
-0.479,-0.203,2.492,7.935,216.064,111.572
-0.473,-0.025,1.978,29.724,245.056,108.337
-0.447,0.097,1.467,50.598,261.658,105.530
-0.377,0.132,0.932,65.186,267.639,97.412
-0.308,0.125,0.197,85.022,262.939,90.149
-0.129,0.193,-0.349,106.934,233.521,91.125
0.052,0.381,-0.699,116.272,179.626,91.370
0.298,0.703,-0.768,113.342,113.403,82.764
0.513,1.010,-0.589,90.454,51.880,59.937
0.633,1.154,-0.320,40.710,13.672,31.555
0.655,1.088,-0.328,-21.729,4.150,5.859
0.568,0.914,-0.915,-102.356,15.015,-18.677
0.443,0.599,-1.547,-146.118,15.869,-36.743
0.326,0.330,-1.961,-139.526,-3.967,-40.222
0.268,0.062,-2.127,-123.779,-39.246,-36.682
0.257,-0.071,-1.869,-98.450,-85.938,-33.203
0.251,-0.064,-1.429,-54.749,-127.686,-28.503
0.193,-0.067,-1.039,-3.723,-155.823,-28.076
0.088,-0.062,-0.702,22.949,-168.335,-31.860
-0.027,-0.005,-0.451,24.109,-161.743,-35.461
-0.129,0.059,-0.260,15.869,-142.334,-39.795
-0.220,-0.037,-0.085,21.240,-122.559,-45.959
-0.343,-0.199,0.040,20.874,-106.995,-50.903
-0.439,-0.303,0.145,-13.184,-93.323,-51.697
-0.493,-0.360,0.255,-62.561,-79.773,-47.241
-0.476,-0.348,0.404,-106.689,-69.397,-39.490
-0.426,-0.343,0.562,-129.150,-65.735,-31.250
-0.395,-0.363,0.759,-127.197,-67.749,-21.606
-0.368,-0.385,0.984,-116.150,-70.923,-12.085
-0.303,-0.364,1.206,-102.356,-71.289,-1.404
-0.241,-0.302,1.417,-91.003,-71.899,11.902
-0.083,-0.272,1.615,-82.031,-71.594,22.705
0.045,0.025,1.800,-49.500,-64.697,36.987
-0.045,0.150,1.878,-6.104,-56.458,41.077
0.129,0.150,1.709,21.606,-38.818,33.569
0.046,0.243,1.755,23.682,-25.879,33.447
0.021,0.119,1.641,3.723,-20.996,15.503
-0.015,-0.050,1.589,-7.507,-19.409,-3.723
-0.002,-0.168,1.584,-8.728,-23.499,-5.737
0.025,-0.172,1.546,-2.075,-24.353,-0.122
0.032,-0.211,1.492,5.737,-21.790,1.892
0.021,-0.298,1.434,4.639,-21.057,0.122
0.014,-0.353,1.385,-0.366,-23.743,2.625
0.002,-0.353,1.352,0.305,-29.297,8.240
-0.001,-0.277,1.363,5.493,-33.081,15.442
0.023,-0.169,1.354,11.841,-33.386,19.226
0.046,-0.095,1.345,20.081,-32.654,18.738
0.041,-0.049,1.372,24.963,-31.433,15.198
0.037,-0.014,1.334,21.484,-25.085,11.536
0.014,-0.011,1.283,6.836,-18.188,8.179
-0.007,-0.041,1.222,-10.620,-11.169,4.822
-0.039,-0.093,1.162,-23.193,-6.104,2.502
-0.068,-0.133,1.119,-28.198,-4.395,1.099
-0.090,-0.172,1.095,-28.076,-4.639,1.160
-0.121,-0.215,1.077,-25.085,-5.493,2.441
-0.131,-0.194,1.083,-22.705,-6.897,5.798
-0.116,-0.161,1.094,-15.686,-9.583,7.446
-0.105,-0.143,1.114,-4.272,-12.146,7.446
-0.094,-0.166,1.137,5.615,-13.733,7.507
-0.075,-0.179,1.138,9.766,-11.536,8.850
-0.051,-0.146,1.112,4.639,-6.592,10.376
-0.037,-0.104,1.063,-3.296,-0.916,10.681
-0.026,-0.080,1.018,-8.545,3.418,9.155
-0.012,-0.076,0.980,-13.306,6.531,6.409
-0.006,-0.031,0.920,-23.193,9.216,3.296
-0.007,-0.001,0.862,-29.480,10.437,-0.916
-0.023,-0.023,0.856,-20.691,8.911,-5.615
-0.031,-0.094,0.860,-3.845,6.165,-6.775
-0.000,-0.102,0.891,0.977,5.493,-3.052
0.029,-0.077,0.928,-1.343,5.615,-0.671
0.038,-0.078,0.940,0.122,6.836,-1.587
0.040,-0.106,0.946,2.808,9.766,-2.747
0.039,-0.120,0.937,0.122,12.451,-3.418
0.028,-0.130,0.918,-3.540,14.160,-3.784

0.013,-0.135,0.929,-1.404,-2.991,-1.099
0.011,-0.149,0.945,0.061,-3.906,-1.404
0.016,-0.158,0.960,1.099,-4.333,-1.221
0.021,-0.167,0.975,2.380,-4.639,-0.977
0.024,-0.168,0.976,2.563,-4.089,-0.732
0.027,-0.165,0.969,0.732,-3.052,-0.183
0.031,-0.153,0.953,-2.197,-2.075,0.366
0.034,-0.141,0.940,-3.662,-1.831,0.610
0.041,-0.132,0.926,-3.357,-2.014,0.366
0.042,-0.128,0.912,-3.418,-2.014,-0.244
0.041,-0.127,0.900,-4.211,-2.380,-0.916
0.038,-0.123,0.891,-5.188,-2.869,-1.648
0.031,-0.126,0.885,-5.249,-3.357,-2.502
0.022,-0.141,0.882,-4.211,-4.395,-2.930
0.014,-0.151,0.877,-4.761,-5.066,-3.235
0.006,-0.151,0.870,-6.958,-5.310,-3.113
0.001,-0.152,0.868,-7.996,-6.165,-2.686
0.008,-0.150,0.875,-7.935,-7.019,-2.319
0.011,-0.158,0.896,-6.775,-8.057,-2.136
0.016,-0.165,0.915,-4.639,-8.972,-1.953
0.014,-0.170,0.929,-3.357,-8.789,-1.709
0.008,-0.170,0.938,-4.578,-7.996,-1.221
-0.011,-0.157,0.921,-7.751,-6.287,-0.854
-0.038,-0.113,0.903,-10.376,-5.615,-0.366
-0.067,-0.094,0.916,-8.606,-7.202,-0.732
-0.089,-0.102,0.970,-3.235,-11.047,-2.197
-0.131,-0.118,1.042,2.747,-14.832,-4.639
-0.167,-0.166,1.158,10.071,-18.372,-6.836
-0.162,-0.242,1.333,25.085,-21.301,-7.935
-0.173,-0.338,1.453,46.265,-20.630,-8.484
-0.210,-0.380,1.537,52.673,-15.381,-6.714
-0.191,-0.339,1.647,44.434,-8.484,-3.113
-0.160,-0.357,1.702,44.556,-2.197,-1.648
-0.161,-0.351,1.770,42.908,3.723,-3.174
-0.093,-0.367,1.827,40.405,7.019,-6.409
-0.147,-0.552,1.906,43.335,4.272,-15.320
-0.111,-0.684,2.116,37.170,-6.531,-17.090
-0.035,-0.782,2.365,25.024,-14.709,-20.691
-0.017,-0.943,2.589,15.015,-15.259,-30.273
-0.034,-1.140,2.847,7.935,-9.766,-38.208
-0.078,-1.233,3.020,0.366,8.118,-43.335
-0.107,-1.293,3.092,-1.343,36.499,-35.095
-0.123,-1.069,2.981,39.734,57.922,-8.362
-0.225,-0.887,2.829,90.881,70.984,12.817
-0.214,-0.509,2.466,115.234,94.604,41.504
-0.158,-0.038,2.125,96.558,116.516,67.505
-0.137,0.390,1.751,75.256,137.756,78.186
-0.170,0.794,1.265,51.147,163.513,75.928
-0.198,1.106,0.583,24.475,185.181,67.993
-0.193,1.464,-0.316,-7.690,194.458,63.049
-0.132,1.675,-1.379,-51.025,180.420,55.664
-0.064,1.560,-2.525,-98.572,139.954,44.250
0.085,1.423,-3.253,-142.029,72.510,33.997
0.256,1.270,-3.320,-124.573,-12.634,22.522
0.381,0.972,-2.699,0.000,-89.233,6.714
0.477,0.577,-1.916,125.305,-126.587,-12.207
0.483,0.302,-1.537,128.845,-105.896,-28.992
0.451,0.157,-1.566,41.809,-56.030,-34.546
0.399,-0.004,-1.750,-24.597,-14.038,-31.189
0.271,-0.194,-1.675,-43.396,-16.235,-33.997
0.243,-0.296,-1.365,-28.503,-34.241,-33.020
0.189,-0.386,-0.999,7.874,-43.274,-24.658
0.086,-0.541,-0.585,41.870,-51.392,-15.137
-0.057,-0.608,-0.190,38.513,-63.232,-8.728
-0.159,-0.493,0.158,5.920,-69.214,-3.113
-0.229,-0.338,0.441,-9.583,-73.975,0.732
-0.296,-0.210,0.755,-6.653,-86.670,0.916
-0.334,-0.160,1.077,-5.615,-99.487,-3.357
-0.400,-0.183,1.432,-14.343,-103.394,-13.123
