aX,aY,aZ,gX,gY,gZ
0.023,0.102,0.973,1.892,-3.296,-0.732
0.020,0.101,0.981,2.136,-3.479,-1.038
0.018,0.102,0.974,0.427,-2.258,-1.221
0.012,0.100,0.953,-1.038,-0.732,-0.854
0.007,0.104,0.928,0.610,0.549,-0.061
0.007,0.108,0.913,5.127,1.221,0.977
0.013,0.114,0.906,7.263,0.427,1.648
0.014,0.104,0.907,3.662,-0.610,0.427
0.011,0.099,0.914,3.113,-1.526,-0.610
0.005,0.083,0.916,4.883,-1.587,-1.038
-0.010,0.051,0.923,4.395,-1.160,-0.793
-0.032,0.009,0.905,-0.122,-0.305,-0.122
-0.089,-0.070,0.897,-2.747,0.244,2.014
-0.172,-0.134,0.858,-4.333,0.427,6.836
-0.212,-0.134,0.792,-4.944,-0.977,14.160
-0.211,-0.086,0.737,2.075,-5.554,22.095
-0.156,0.005,0.683,13.367,-12.268,28.015
-0.115,0.102,0.590,16.174,-17.883,28.625
-0.062,0.203,0.496,3.540,-21.118,24.902
0.016,0.255,0.418,-21.729,-21.362,17.151
0.109,0.281,0.228,-59.509,-15.259,6.165
0.164,0.220,0.093,-76.416,-6.531,-2.991
0.205,0.087,-0.030,-76.233,0.366,-5.188
0.244,-0.047,-0.245,-88.013,7.080,-3.662
0.278,-0.170,-0.482,-102.905,11.047,1.160
0.290,-0.257,-0.736,-111.328,10.315,8.667
0.261,-0.287,-1.074,-126.770,1.343,14.465
0.189,-0.239,-1.455,-148.376,-19.226,17.822
-0.132,-0.140,-1.721,-172.913,-54.749,16.602
0.329,0.166,-1.785,-184.387,-99.426,14.771
0.136,0.383,-1.640,-171.387,-144.287,8.545
-0.019,0.614,-1.325,-132.812,-182.739,-5.493
-0.169,0.883,-0.876,-80.872,-213.257,-20.691
-0.363,1.031,-0.173,-24.109,-245.483,-51.758
-0.566,1.047,0.577,-25.452,-251.892,-84.229
-0.682,1.026,1.323,-66.162,-215.088,-106.689
-0.898,0.830,2.074,-108.582,-177.185,-127.319
-1.103,0.506,2.665,-125.732,-122.498,-151.306
-1.075,0.371,3.006,-99.426,-54.993,-122.742
-1.102,0.276,3.080,-54.871,-26.245,-61.951
-0.963,0.236,2.911,-26.794,-3.540,-5.676
-0.982,0.353,2.906,25.635,-11.902,61.829
-1.067,0.551,2.763,56.519,-22.949,103.760
-0.887,1.056,2.388,61.279,5.188,140.503
-0.774,1.432,2.297,82.764,17.212,167.542
-0.742,1.398,2.437,91.003,3.235,117.981
-0.678,1.428,2.671,67.322,-5.432,87.463
-0.678,1.338,2.937,12.634,-0.854,51.880
-0.695,1.008,3.185,-43.396,11.780,0.610
-0.750,0.798,3.342,-94.604,27.344,-32.532
-0.689,0.639,3.458,-117.065,46.936,-32.959
-0.640,0.497,3.547,-132.263,53.467,-33.875
-0.555,0.641,3.340,-177.979,72.571,-36.133
-0.503,0.748,3.030,-172.058,89.539,-44.800
-0.455,0.783,2.689,-116.211,102.478,-52.612
-0.380,0.918,2.310,-65.918,106.995,-52.246
-0.269,1.036,1.897,-18.250,110.168,-49.133
-0.182,1.019,1.543,41.870,109.619,-47.974
-0.069,1.042,1.216,106.934,112.366,-29.602
0.014,0.986,0.860,158.386,112.000,-18.738
0.077,0.953,0.549,185.852,103.516,-15.442
0.137,0.901,0.287,211.670,91.919,-12.329
0.219,0.824,0.130,247.742,77.271,-10.254
0.284,0.726,0.062,272.339,64.209,-9.033
0.175,0.513,0.154,247.681,55.420,-12.329
0.173,0.311,0.117,183.167,63.721,-15.686
0.143,0.224,0.073,114.685,68.787,-2.869
0.094,0.145,0.103,79.773,62.622,12.634
0.071,0.081,0.120,73.181,59.570,23.560
0.020,0.071,0.130,78.552,53.650,27.649
0.020,0.075,0.117,85.938,47.363,24.170
0.050,0.080,0.160,81.787,45.532,19.531
0.072,0.125,0.188,38.757,44.983,12.756
0.106,0.188,0.196,-19.104,46.326,4.822
0.105,0.217,0.213,-46.265,47.119,0.671
0.090,0.238,0.243,-35.339,43.884,-3.052
0.103,0.238,0.291,-4.700,36.804,-6.287
0.098,0.221,0.367,17.029,21.118,-9.094
0.095,0.178,0.486,22.766,8.911,-9.094
0.098,0.157,0.515,3.479,9.705,-10.010
0.087,0.156,0.503,-28.503,15.442,-12.573
0.084,0.131,0.498,-39.551,16.846,-15.564
0.072,0.105,0.516,-30.884,14.832,-16.479
0.030,0.088,0.533,-17.578,12.695,-16.602
-0.032,0.076,0.492,-12.207,11.353,-17.700
-0.068,0.082,0.450,-6.592,7.690,-18.860
-0.083,0.060,0.462,11.780,0.122,-18.188
-0.080,0.051,0.473,28.198,-7.935,-14.771
-0.075,0.065,0.471,39.490,-16.052,-10.193
-0.035,0.094,0.504,51.086,-24.658,-5.310
0.004,0.128,0.535,50.659,-31.128,-1.892
0.033,0.163,0.572,44.922,-35.095,-0.977
0.052,0.159,0.647,42.542,-37.720,-3.235
0.070,0.136,0.686,27.771,-38.452,-7.996
0.045,0.120,0.710,6.104,-37.109,-15.015
0.007,0.096,0.733,-9.216,-36.011,-23.621
-0.030,0.077,0.757,-19.226,-35.095,-31.006
-0.053,0.058,0.778,-21.423,-36.499,-35.645
-0.083,0.056,0.770,-18.555,-41.931,-39.734
-0.082,0.064,0.792,-9.766,-50.720,-43.335
-0.066,0.074,0.842,-0.549,-60.181,-44.861
-0.045,0.099,0.880,2.319,-67.322,-44.312
-0.033,0.131,0.933,7.385,-71.167,-42.664
0.001,0.096,1.050,11.658,-72.632,-41.931
-0.011,0.097,1.075,-3.662,-67.993,-40.710
-0.029,0.082,1.160,-17.273,-58.899,-38.391
-0.047,0.062,1.184,-22.705,-44.495,-33.447
-0.064,0.075,1.180,-23.193,-28.809,-22.583
-0.053,0.099,1.166,-16.479,-15.869,-9.094
-0.044,0.142,1.104,-7.507,-6.409,3.296
-0.054,0.179,1.030,3.174,-2.197,10.376
-0.074,0.206,0.986,13.062,-3.235,12.695
-0.078,0.220,0.954,19.470,-5.432,13.184
-0.074,0.224,0.955,28.198,-7.080,14.526
-0.048,0.221,0.976,38.086,-7.690,15.930
-0.026,0.235,0.995,37.964,-7.446,16.541
-0.006,0.230,1.018,32.166,-8.606,15.137

-0.028,0.093,0.955,-10.986,6.653,1.648
-0.021,0.095,0.936,-5.859,5.066,1.648
-0.017,0.094,0.919,-1.282,2.747,1.587
-0.008,0.097,0.906,2.319,1.282,1.282
-0.005,0.104,0.896,7.202,0.061,1.343
-0.007,0.102,0.897,13.428,-1.282,1.282
-0.004,0.096,0.912,13.733,-2.136,0.427
0.000,0.100,0.916,4.578,-1.709,-0.549
0.000,0.094,0.921,-0.732,-0.671,-1.465
0.001,0.097,0.918,0.244,0.000,-1.282
0.016,0.100,0.922,2.747,0.732,-1.343
0.023,0.085,0.932,3.174,1.526,-2.380
0.023,0.077,0.915,-1.526,3.662,-3.906
0.012,0.080,0.880,-6.226,6.775,-4.944
-0.007,0.081,0.838,-4.395,8.911,-5.188
-0.014,0.098,0.809,0.671,9.949,-4.883
-0.025,0.114,0.768,2.930,10.559,-5.371
-0.017,0.124,0.740,4.944,11.292,-6.775
0.008,0.130,0.725,8.118,12.573,-7.202
0.028,0.102,0.628,10.742,17.212,-6.958
0.071,0.079,0.449,11.658,25.452,-4.639
0.099,-0.025,0.148,10.742,34.912,1.709
0.050,-0.058,-0.301,-9.460,45.288,9.033
-0.009,-0.051,-0.913,-53.711,54.077,13.123
-0.177,-0.090,-1.562,-120.422,51.880,7.690
-0.206,-0.172,-2.090,-174.011,34.424,-3.845
-0.085,-0.116,-2.198,-190.308,-18.311,-7.080
-0.067,-0.062,-1.958,-175.659,-83.313,5.066
0.019,0.062,-1.452,-148.865,-149.109,3.174
-0.044,0.124,-0.842,-122.803,-206.055,-15.442
-0.120,0.310,-0.400,-128.174,-216.431,-20.325
-0.250,0.554,0.072,-126.526,-204.712,-19.897
-0.372,0.732,0.594,-96.252,-203.369,-30.090
-0.517,0.796,1.019,-58.289,-178.162,-52.673
-0.567,0.815,1.448,-2.808,-148.926,-54.138
-0.624,0.809,1.894,53.772,-146.606,-54.993
-0.595,0.784,2.299,83.313,-132.263,-57.068
-0.792,0.568,2.635,75.867,-95.032,-62.012
-0.784,0.433,2.717,44.739,-50.293,-47.363
-0.702,0.427,2.907,31.311,-57.129,24.963
-0.924,0.172,3.160,61.462,-73.608,84.106
-0.980,0.166,3.306,146.973,-97.778,136.108
-0.834,-0.050,3.206,145.386,-85.449,160.583
-0.906,-0.253,3.230,86.060,-27.649,134.949
-0.824,-0.264,3.152,36.865,19.470,131.165
-0.746,-0.183,3.067,46.143,28.687,137.024
-0.677,-0.118,2.903,66.345,35.461,117.859
-0.703,-0.076,2.812,77.087,44.739,82.886
-0.646,-0.083,2.691,57.007,49.744,43.396
